name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,1/1/19,45.1,39.4,42.6,43.6,34.8,38.2,36.6,79.6,0.001,100,4.17,rain,0,0,25.3,13.9,359.6,1022.5,65.1,8.5,46.5,4,2,,2019-01-01T07:27:35,2019-01-01T17:41:36,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/2/19,40.3,36.2,37.7,34.4,29.1,31.9,35.1,90.2,2.275,100,83.33,rain,0,0,20.8,10.8,349,1021.5,90.7,4.5,8.5,0.7,0,,2019-01-02T07:27:48,2019-01-02T17:42:19,0.88,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/3/19,51.8,34.7,40.9,51.8,31,37.6,35.6,82.6,0.242,100,37.5,rain,0,0,18.1,9.9,313.3,1017.8,53.2,7.4,88.9,7.6,5,,2019-01-03T07:28:00,2019-01-03T17:43:03,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/4/19,65.9,32.5,46.2,65.9,29.1,45.1,32.9,64.8,0,0,0,,0,0,,7.8,312.5,1018.3,2.2,8.9,142.8,12.4,6,,2019-01-04T07:28:10,2019-01-04T17:43:48,0.95,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/5/19,73.7,37.5,52.3,73.7,36.2,52.2,35.5,58.6,0,0,0,,0,0,,8.9,217.8,1020.5,0.5,9.9,144.9,12.7,6,,2019-01-05T07:28:19,2019-01-05T17:44:34,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/6/19,71.8,40.8,55.5,71.8,40.8,55.5,47.8,76.1,0,0,0,,0,0,30.4,13.6,166.1,1018.3,41.4,9.5,89.3,7.8,4,,2019-01-06T07:28:26,2019-01-06T17:45:20,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/7/19,75.8,59.9,66.9,75.8,59.9,66.9,60.3,80.3,0,0,0,,0,0,22.4,10.8,211.3,1017.6,65,8.9,90.3,7.6,4,,2019-01-07T07:28:31,2019-01-07T17:46:07,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/8/19,76.1,55.1,63.4,76.1,55.1,63.4,51.4,69.1,0,0,0,,0,0,,10.7,352.6,1022.6,29.5,6.8,114.1,9.9,5,,2019-01-08T07:28:35,2019-01-08T17:46:55,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/9/19,61.8,47.2,54.3,61.8,47.2,54.3,29.7,39.5,0,0,0,,0,0,20.8,13.9,21.9,1030.8,14.5,9.9,128.9,11.2,5,,2019-01-09T07:28:37,2019-01-09T17:47:44,0.12,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/10/19,59.3,42.4,51.6,59.3,42.4,51.5,32.4,50.1,0,0,0,,0,0,,7.9,131.5,1026.1,65,9.9,77.6,6.8,4,,2019-01-10T07:28:37,2019-01-10T17:48:33,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
